본문
"""이렇게 같이 뛰는 게 마지막일 수 있다."" 
 
 프로야구 두산 베어스 내야수 오재원(35)은 4일 서울 잠실구장에서 열린 LG 트윈스와 준플레이오프(준PO) 1차전을 마치고 이렇게 이야기했다. 그는 ""우리끼리 농담으로 하는 이야기""라고 했다. 그러나 실제로 최근 5년간 3회나 우승한 최고의 라인업은 올 시즌을 끝으로 보기 힘들다. '두산 왕조'를 이.."
"텍사스 레인저스와 7년 계약이 끝난 추신수(38)의 메이저리그(MLB) 경력이 이어질 수 있을까. 올 시즌을 마치고 자유계약선수(FA)로 풀린 추신수가 미 현지 매체로부터 나쁘지 않은 평을 받고 있다. 
 
MLB 워싱턴 내셔널스, 신시내티 레즈 단장을 역임한 칼럼니스트 짐 보든은 4일 미국 스포츠 매체 디 애슬레틱을 통해 FA 상위 22명 선수를 소개.."
"1998년에 프로야구에 외국인 선수 제도가 도입된 이후, 올해까지 23년 동안 수많은 외국인 선수가 그라운드를 누볐다. 1년 동안 활약하는 '용병' 개념이 강했지만, 최근에는 3~4년 이상 뛰는 선수들이 많아지면서 '우리 선수'로 대접받는 분위기다. 아예 '장수 외국인 선수 말고 오랫동안 함께 한 특정 팀의 선수로 기억해 달라'고 요청하기도 한다. 
 .."
"지난주 미국 월드시리즈와 한국프로야구의 정규시즌이 막을 내렸다. 무려 32년 만에 LA다저스가 탬파베이를 꺾고 미국 월드시리즈 우승으로 피날레를 장식했다. 한국프로야구는 한국시리즈 우승을 향한 가을 야구가 이제 한창이다. 정규 시즌 우승팀인 NC다이노스를 필두로 나머지 4개 팀의 순위 경쟁은 정규시즌 종료일까지 매우 치열했다.
2020년 코로나19 사태.."
"한 지붕 두 가족.

2020 케이비오(KBO)리그 준플레이오프(4일 시작)에서 맞붙는 두산 베어스, 엘지(LG) 트윈스를 일컫는 말이다. 두 팀은 국내 프로 구단들 중 유일하게 한 야구장을 나눠 쓴다. 준플레이오프 동안 두 팀은 서로 1루 더그아웃과 3루 더그아웃만 오가면 된다. 승자가 고척 스카이돔으로 향한다. 역대 4차례 가을야구 맞대결에선 두산과.."
"가을 비 때문에 2020 프로야구 포스트시즌은 원래 예정보다 하루 늦게 막을 올리게 됐다. 그러자 ‘어차피 서울 고척스카이돔에서 중립 경기를 치르기로 했는데 왜 시작부터가 아니라 플레이오프 때부터 고척돔으로 옮기는지 모르겠다. 괜히 하루를 날렸다’는 목소리도 들리고 있다. 
 
 그러나 포스트시즌이 사실 ‘돈 잔치’라는 걸 감안하면 포스트시즌 중간에 장.."
"때로는 너무 잘해도 문제다. KBO리그에서 최고 활약을 펼친 외국인 선수 소속팀이 재계약 문제로 고민에 빠졌다. 해외 구단과 치열하게 경쟁 중이다. 
 
 올해 프로야구 최고 타자는 KT 위즈의 멜 로하스 주니어(30 도미니카 공화국)다. 한국에서 4년째 뛴 로하스는 홈런(47개), 타점(135개), 득점(116개), 장타율(0.680) 등에서 4관왕이.."
"김광현이 2020년 미국 프로야구 메이저리그(MLB) 입성을 앞두고 롤모델로 언급한 메릴 켈리(애리조나 다이아몬드백스)를 내년에도 메이저리그에서 볼 수 있게 됐다. 
 
MLB닷컴은 2일(한국시간) “애리조나 구단 옵션을 적용해 켈리와의 계약을 1년 연장했다”고 전했다. 켈리는 2021년 메이저리그가 정상적으로 열리면 연봉 425만달러(약 48억3000.."
"프로야구 엔씨(NC) 다이노스 주전 포수 양의지(34)가 구단 연고 지역 고등학교 5개에 총 1억원 상당의 야구용품을 기부했다. 

지난 10월30일 이뤄진 이번 기부는 연고 지역 유소년 선수들이 더 나은 환경에서 성장할 수 있도록 돕고, 지역 야구 발전에 힘을 보태고자 하는 양의지 선수의 자발적 의사로 이뤄졌다. 기부 대상 고교는 물금고""김해고""마산고.."
"리그 출신 빅리거 메릴 켈리(애리조나)와 브룩스 레일리(휴스턴)가 나란히 계약 연장에 성공했다.
MLB닷컴은 2일(한국시간) “애리조나가 구단 옵션을 적용해 켈리와의 계약을 1년 연장했다”고 전했다. 켈리는 2021년 메이저리그가 정상적으로 열리면 연봉 425만달러(약 48억3,000만원)를 받는다. 2010년 메이저리그 신인 지명 이후 5시즌 동안 마.."
"올해 정규시즌에서 선발투수로만 등판했던 키움 히어로즈의 사이드암 한현희(27)가 포스트시즌에는 불펜으로 출격한다. 
 
 김창현(35) 키움 감독대행은 1일 서울 잠실구장에서 LG 트윈스와 2020 프로야구 KBO 와일드카드(WC) 결정전 1차전을 앞두고 ""한현희는 불펜에서 좋은 활약을 펼친 기억이 있다. 이번 포스트시즌에서는 불펜으로 나온다""고 밝혔다.."
"염경엽(52) SK 와이번스 감독이 오랫동안 자리를 비운 사령탑에서 결국 물러난다. 
 
SK 구단은 30일 “염 감독이 이달 중순 손차훈 단장과 면담에서 물러나겠다는 뜻을 전해 왔다. 구단은 내부 논의를 통해 염 감독의 사의를 받아들였다”고 밝혔다. 구단의 한 관계자는 “염 감독이 건강상의 문제보다 ‘성적 부진을 책임지겠다’며 사의를 밝혔다”고 말했다.."
